frame_id,timestamp_sec,zone_name,zone_short_id,zone_count,count_past_30f,absolute_count_increase,count_percent_change_30f,zone_density_pixel,density_percent_change_30f,risk_level
3037,101.10067823929226,crosswalk_bottom,CW4,27.0,14.0,13.0,92.85714285714286,0.0002856583631775,92.85714285717181,HIGH
3061,101.89962992771603,crosswalk_bottom,CW4,22.0,10.0,12.0,120.0,0.0002327586662928,120.00000000011342,HIGH
3076,102.3989747329809,crosswalk_bottom,CW4,22.0,11.0,11.0,100.0,0.0002327586662928,100.0,HIGH
3079,102.49884369403388,crosswalk_bottom,CW4,24.0,13.0,11.0,84.61538461538461,0.0002539185450467,84.61538461537901,HIGH
3080,102.5321333477182,crosswalk_bottom,CW4,24.0,10.0,14.0,140.0,0.0002539185450467,140.0000000001323,HIGH
3081,102.56542300140252,crosswalk_bottom,CW4,31.0,8.0,23.0,287.5,0.0003279781206853,287.4999999999232,CRITICAL
3082,102.59871265508684,crosswalk_bottom,CW4,20.0,10.0,10.0,100.0,0.0002115987875389,100.0000000000945,HIGH
3158,105.12872633509548,crosswalk_bottom,CW4,20.0,6.0,14.0,233.33333333333334,0.0002115987875389,233.33333333326215,HIGH
3162,105.26188494983278,crosswalk_bottom,CW4,21.0,9.0,12.0,133.33333333333331,0.0002221787269158,133.33333333323628,HIGH
3164,105.32846425720142,crosswalk_bottom,CW4,21.0,9.0,12.0,133.33333333333331,0.0002221787269158,133.33333333323628,HIGH
3165,105.36175391088577,crosswalk_bottom,CW4,23.0,9.0,14.0,155.55555555555557,0.0002433386056697,155.55555555546425,HIGH
3166,105.39504356457007,crosswalk_bottom,CW4,20.0,9.0,11.0,122.22222222222223,0.0002115987875389,122.22222222217478,HIGH
3170,105.52820217930736,crosswalk_bottom,CW4,23.0,8.0,15.0,187.5,0.0002433386056697,187.4999999998973,HIGH
3171,105.56149183299168,crosswalk_bottom,CW4,24.0,4.0,20.0,500.0,0.0002539185450467,499.99999999991917,HIGH
3172,105.594781486676,crosswalk_bottom,CW4,22.0,9.0,13.0,144.44444444444443,0.0002327586662928,144.44444444440276,HIGH
3173,105.62807114036032,crosswalk_bottom,CW4,22.0,11.0,11.0,100.0,0.0002327586662928,100.0,HIGH
3174,105.66136079404468,crosswalk_bottom,CW4,27.0,12.0,15.0,125.0,0.0002856583631775,125.00000000005909,HIGH
3175,105.694650447729,crosswalk_bottom,CW4,27.0,15.0,12.0,80.0,0.0002856583631775,79.99999999996221,HIGH
3178,105.79451940878197,crosswalk_bottom,CW4,31.0,12.0,19.0,158.33333333333331,0.0003279781206853,158.3333333334187,CRITICAL
3179,105.82780906246629,crosswalk_bottom,CW4,38.0,12.0,26.0,216.66666666666666,0.0004020376963239,216.66666666675857,CRITICAL
3180,105.8610987161506,crosswalk_bottom,CW4,38.0,14.0,24.0,171.42857142857142,0.0004020376963239,171.4285714286197,CRITICAL
3181,105.89438836983491,crosswalk_bottom,CW4,37.0,12.0,25.0,208.33333333333334,0.000391457756947,208.33333333345806,CRITICAL
3182,105.92767802351923,crosswalk_bottom,CW4,39.0,13.0,26.0,200.0,0.0004126176357009,199.99999999999994,CRITICAL
3183,105.96096767720358,crosswalk_bottom,CW4,33.0,10.0,23.0,229.99999999999997,0.0003491379994392,230.0000000001701,CRITICAL
3186,106.06083663825656,crosswalk_bottom,CW4,23.0,9.0,14.0,155.55555555555557,0.0002433386056697,155.55555555546425,HIGH
3187,106.09412629194088,crosswalk_bottom,CW4,23.0,11.0,12.0,109.09090909090908,0.0002433386056697,109.09090909087003,HIGH
3222,107.25926417089222,crosswalk_bottom,CW4,28.0,16.0,12.0,75.0,0.0002962383025545,75.00000000004431,HIGH
