zone_name,zone_short_id,event_start_frame,event_end_frame,event_start_sec,event_end_sec,event_duration_sec,peak_frame_id,peak_timestamp_sec,peak_zone_count,peak_absolute_increase,peak_percent_increase,peak_risk_level
sidewalk_bottom,SW3,4188,4258,139.41706962994928,141.74734538785196,2.330275757902683,4188,139.41706962994928,28.0,10.0,55.55555555555556,HIGH
sidewalk_bottom,SW3,4355,4426,144.9764417952314,147.34000720681843,2.363565411587018,4362,145.20946937102167,33.0,15.0,83.33333333333334,CRITICAL
sidewalk_bottom,SW3,4589,4605,152.76622075736324,153.29885521631243,0.5326344589491896,4595,152.9659586794692,29.0,11.0,61.111111111111114,HIGH
sidewalk_bottom,SW3,6174,6174,205.5303218470169,205.5303218470169,0.0,6174,205.5303218470169,20.0,11.0,122.22222222222223,HIGH
sidewalk_bottom,SW3,6323,6382,210.4904802459812,212.4545698133564,1.964089567375197,6323,210.4904802459812,25.0,10.0,66.66666666666666,HIGH
sidewalk_bottom,SW3,6554,6554,218.1803902470601,218.1803902470601,0.0,6554,218.1803902470601,25.0,10.0,66.66666666666666,HIGH
sidewalk_bottom,SW3,6762,6814,225.1046382133995,226.8357002049844,1.7310619915848804,6762,225.1046382133995,33.0,14.0,73.68421052631578,CRITICAL
sidewalk_bottom,SW3,6945,6983,231.1966448376308,232.46165167763516,1.2650068400043608,6945,231.1966448376308,20.0,11.0,122.22222222222223,HIGH
sidewalk_bottom,SW3,7582,7582,252.4021542345453,252.4021542345453,0.0,7582,252.4021542345453,27.0,14.0,107.6923076923077,HIGH
sidewalk_bottom,SW3,7746,8025,257.8616574387744,267.14947081670084,9.287813377926454,7963,265.08551228827275,27.0,13.0,92.85714285714286,HIGH
sidewalk_bottom,SW3,8405,8405,279.799539216744,279.799539216744,0.0,8405,279.799539216744,30.0,11.0,57.89473684210527,CRITICAL
sidewalk_bottom,SW3,8705,8705,289.7864353220412,289.7864353220412,0.0,8705,289.7864353220412,30.0,10.0,50.0,CRITICAL
sidewalk_bottom,SW3,8867,8878,295.1793592189017,295.5455454094293,0.3661861905275714,8877,295.51225575574495,37.0,18.0,94.73684210526315,CRITICAL
sidewalk_bottom,SW3,9013,9084,300.03964865681303,302.4032140684,2.3635654115869897,9016,300.139517617866,24.0,15.0,166.66666666666669,HIGH
sidewalk_left,SW4,73,76,2.4301447189556584,2.530013680008631,0.0998689610529726,75,2.4967240263243067,34.0,16.0,88.88888888888889,CRITICAL
sidewalk_left,SW4,168,221,5.592661818966447,7.357013464235624,1.7643516452691772,217,7.223854849498328,36.0,18.0,100.0,CRITICAL
