frame_id,timestamp_sec,high_or_critical_zone_count,total_zones,zones_high_or_critical,total_count,raw_multi_zone_alert
930,30.959377926421404,2,8,"crosswalk_left, crosswalk_main",246,0
931,30.992667580105728,2,8,"crosswalk_left, crosswalk_main",243,0
932,31.02595723379005,2,8,"crosswalk_left, crosswalk_main",255,0
933,31.059246887474377,1,8,crosswalk_main,251,0
934,31.0925365411587,3,8,"crosswalk_left, crosswalk_main, sidewalk_top",277,1
935,31.125826194843025,2,8,"crosswalk_left, crosswalk_main",264,0
936,31.15911584852735,2,8,"crosswalk_left, crosswalk_main",260,0
937,31.192405502211678,2,8,"crosswalk_left, crosswalk_main",258,0
938,31.225695155896,2,8,"crosswalk_left, crosswalk_main",247,0
939,31.258984809580323,1,8,crosswalk_main,245,0
940,31.292274463264643,1,8,crosswalk_main,247,0
941,31.325564116948968,1,8,crosswalk_main,245,0
942,31.35885377063329,1,8,crosswalk_main,258,0
943,31.392143424317617,1,8,crosswalk_main,260,0
944,31.42543307800194,1,8,crosswalk_main,247,0
945,31.458722731686265,1,8,crosswalk_main,247,0
946,31.49201238537059,1,8,crosswalk_main,268,0
947,31.525302039054917,1,8,crosswalk_main,266,0
948,31.55859169273924,2,8,"crosswalk_main, sidewalk_top",271,0
949,31.591881346423563,3,8,"crosswalk_left, crosswalk_main, sidewalk_top",273,1
950,31.625171000107887,3,8,"crosswalk_left, crosswalk_main, sidewalk_top",281,1
951,31.65846065379221,3,8,"crosswalk_left, crosswalk_main, sidewalk_top",269,1
952,31.691750307476536,3,8,"crosswalk_left, crosswalk_main, sidewalk_top",268,1
953,31.72503996116086,2,8,"crosswalk_left, crosswalk_main",270,0
954,31.75832961484518,2,8,"crosswalk_left, crosswalk_main",261,0
955,31.791619268529505,2,8,"crosswalk_left, crosswalk_main",252,0
956,31.82490892221383,2,8,"crosswalk_left, crosswalk_main",265,0
957,31.858198575898157,2,8,"crosswalk_left, crosswalk_main",260,0
958,31.89148822958248,2,8,"crosswalk_left, crosswalk_main",264,0
959,31.924777883266803,2,8,"crosswalk_left, crosswalk_main",264,0
960,31.958067536951127,1,8,crosswalk_main,255,0
961,31.99135719063545,1,8,crosswalk_main,260,0
962,32.024646844319776,2,8,"crosswalk_left, crosswalk_main",272,0
963,32.057936498004096,3,8,"crosswalk_left, crosswalk_main, sidewalk_top",274,1
964,32.091226151688424,2,8,"crosswalk_left, crosswalk_main",277,0
965,32.124515805372745,2,8,"crosswalk_left, crosswalk_main",275,0
966,32.15780545905707,2,8,"crosswalk_left, crosswalk_main",285,0
967,32.191095112741394,1,8,crosswalk_main,255,0
968,32.22438476642572,2,8,"crosswalk_left, crosswalk_main",260,0
969,32.25767442011004,2,8,"crosswalk_left, crosswalk_main",269,0
970,32.29096407379437,2,8,"crosswalk_left, crosswalk_main",270,0
971,32.32425372747869,2,8,"crosswalk_left, crosswalk_main",264,0
972,32.35754338116302,2,8,"crosswalk_left, crosswalk_main",267,0
973,32.39083303484734,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",273,1
974,32.42412268853166,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",280,1
975,32.45741234221599,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",271,1
976,32.49070199590031,2,8,"crosswalk_left, crosswalk_main",261,0
977,32.52399164958464,2,8,"crosswalk_left, crosswalk_main",257,0
978,32.55728130326896,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",267,1
979,32.590570956953286,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",266,1
980,32.62386061063761,2,8,"crosswalk_main, sidewalk_right",263,0
981,32.657150264321935,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",260,1
982,32.690439918006255,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",293,1
983,32.72372957169058,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",299,1
984,32.757019225374904,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",277,1
985,32.79030887905923,2,8,"crosswalk_main, sidewalk_right",258,0
986,32.82359853274355,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",271,1
987,32.85688818642788,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",264,1
988,32.8901778401122,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",266,1
989,32.92346749379652,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",262,1
990,32.95675714748085,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",273,1
